,Image,Accuracy,F1,Jaccard,Recall,Precision
134,10348,1.0,1.0,0.0,1.0,1.0
135,10358,1.0,1.0,0.0,1.0,1.0
136,10365,1.0,1.0,0.0,1.0,1.0
137,10379,1.0,1.0,0.0,1.0,1.0
138,10383,1.0,1.0,0.0,1.0,1.0
139,10403,0.9981536865234375,0.0,0.0,1.0,0.0
140,10407,0.9953842163085938,0.0,0.0,1.0,0.0
141,10408,0.9951744079589844,0.0,0.0,1.0,0.0
142,10414,0.9950027465820312,0.0,0.0,1.0,0.0
143,10446,1.0,1.0,0.0,1.0,1.0
144,1045,1.0,1.0,0.0,1.0,1.0
145,10453,1.0,1.0,0.0,1.0,1.0
146,10454,1.0,1.0,0.0,1.0,1.0
147,10464,1.0,1.0,0.0,1.0,1.0
148,10469,0.9999961853027344,0.0,0.0,1.0,0.0
149,10475,0.9968986511230469,0.624133148404993,0.4536290322580645,1.0,0.4536290322580645
150,10477,0.9963531494140625,0.6947637292464879,0.5322896281800391,1.0,0.5322896281800391
151,10479,0.996002197265625,0.7390438247011952,0.5860979462875198,1.0,0.5860979462875198
152,10481,0.9956741333007812,0.7647302904564316,0.6190796103459859,1.0,0.6190796103459859
153,1049,1.0,1.0,0.0,1.0,1.0
154,10498,0.9959564208984375,0.9100932994062765,0.8350194552529183,1.0,0.8350194552529183
155,10509,0.9965400695800781,0.9455157085360726,0.8966617295203373,1.0,0.8966617295203373
156,10510,0.9966316223144531,0.9482202545006745,0.9015388046387154,0.9997526895016694,0.901739906312737
157,10512,0.9965667724609375,0.9495062836624775,0.9038666951506088,1.0,0.9038666951506088
158,10535,0.9970207214355469,0.9689944023184724,0.9398536773199846,0.9920338156397334,0.9470008535733685
159,1054,1.0,1.0,0.0,1.0,1.0
160,10552,0.9970550537109375,0.9741078615508452,0.9495226886360665,0.985143477376026,0.9633167495854063
161,10569,0.9972267150878906,0.9780076836978552,0.9569618754439971,0.9995671531041306,0.9573586023097423
162,10584,0.9976844787597656,0.981642219869953,0.9639463055357567,0.9937542097850713,0.9698219194454404
163,10585,0.9978866577148438,0.9832324455205811,0.9670179198666429,0.9939419899645087,0.9727512276919391
164,10590,0.9979782104492188,0.9839325774571029,0.9683733142379759,0.9950944321805248,0.9730183475236839
165,10592,0.9975471496582031,0.9804636465834169,0.9616760042913339,0.9969723183391004,0.9644927969394465
166,10601,0.9978828430175781,0.9829801588518507,0.9665299722590761,0.9980694980694981,0.9683402815539847
167,10608,0.9979705810546875,0.9836186722502772,0.9677653902084343,0.9981876132741704,0.9694688922610015
168,10611,0.9980430603027344,0.9841505236815274,0.9687956204379562,0.9974948330932548,0.9711585365853659
169,10612,0.9981307983398438,0.984830660640208,0.9701146621127105,0.9969288624255719,0.9730225729491649
170,10615,0.9983558654785156,0.9865786441628001,0.9735127826941986,0.996226652411798,0.9771157167530224
